Country,GTFCC_Target_Country,Continent,WHO_Region,Subregion,Year,Total_Cases,Autochtonous_Cases,Imported_Cases,Deaths,CFR,Incidence_Rate_perMillion,Cases_per_Million,Outbreak_Size,WHO_Region_encoded
Seychelles,No,Africa,AFRO,Eastern and Southern Africa,2007-01-01,178,178,0,1,0.5617977528089888,1823,1823,Medium,0
Sierra Leone,Yes,Africa,AFRO,West and Central Africa,2007-01-01,2219,2219,0,84,3.7854889589905363,284,284,Large,0
Slovenia,No,Europe,EURO,Western Europe,2007-01-01,1,0,1,0,0.0,0,0,Small,2
Somalia,Yes,Africa,EMRO,Eastern and Southern Africa,2007-01-01,41643,41643,0,1182,2.8384122181399034,2697,2697,Epidemic,1
Spain,No,Europe,EURO,Western Europe,2007-01-01,2,0,2,0,0.0,0,0,Small,2
Sudan,Yes,Africa,EMRO,Middle East and North Africa,2007-01-01,13731,13731,0,500,3.641395382710655,321,321,Epidemic,1
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2007-01-01,1609,1609,0,65,4.039776258545681,28,28,Large,0
Thailand,Yes,Asia,SEARO,East Asia and Pacific,2007-01-01,1428,1428,0,7,0.49019607843137253,21,21,Large,4
Togo,Yes,Africa,AFRO,West and Central Africa,2007-01-01,65,65,0,1,1.5384615384615385,8,8,Small,0
Uganda,Yes,Africa,AFRO,Eastern and Southern Africa,2007-01-01,276,276,0,3,1.0869565217391304,6,6,Medium,0
Ukraine,No,Europe,EURO,"Central, Eastern Europe",2007-01-01,1,0,1,0,0.0,0,0,Small,2
United Kingdom,No,Europe,EURO,Western Europe,2007-01-01,32,0,32,0,0.0,0,0,Small,2
USA,No,Americas,PAHO,North Americas,2007-01-01,7,3,4,0,0.0,0,0,Small,3
Vietnam,No,Asia,WPRO,East Asia and Pacific,2007-01-01,1946,1946,0,0,0.0,20,20,Large,5
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2007-01-01,2286,2286,0,35,1.531058617672791,128,128,Large,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2007-01-01,65,65,0,4,6.153846153846154,4,4,Small,0
Angola,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,67257,67257,0,2722,4.047162377150334,2113,2113,Epidemic,0
Australia,No,Oceania,WPRO,East Asia and Pacific,2006-01-01,3,0,3,0,0.0,0,0,Small,5
Benin,Yes,Africa,AFRO,West and Central Africa,2006-01-01,91,91,0,1,1.098901098901099,8,8,Small,0
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,886,886,0,7,0.7900677200902935,77,77,Medium,0
Cameroon,Yes,Africa,AFRO,West and Central Africa,2006-01-01,922,922,0,35,3.7960954446854664,36,36,Medium,0
Canada,No,Americas,PAHO,North Americas,2006-01-01,2,0,2,0,0.0,0,0,Small,3
Chad,Yes,Africa,AFRO,West and Central Africa,2006-01-01,1668,1668,0,71,4.256594724220624,105,105,Large,0
China,No,Asia,WPRO,East Asia and Pacific,2006-01-01,161,161,0,2,1.2422360248447204,0,0,Medium,5
Congo,Yes,Africa,AFRO,West and Central Africa,2006-01-01,175,175,0,10,5.714285714285714,33,33,Medium,0
Cote d'Ivoire,Yes,Africa,AFRO,West and Central Africa,2006-01-01,414,414,0,15,3.6231884057971016,16,16,Medium,0
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2006-01-01,20642,20642,0,426,2.0637535122565644,238,238,Epidemic,0
Djibouti,Yes,Africa,EMRO,Middle East and North Africa,2006-01-01,123,123,0,11,8.94308943089431,126,126,Medium,1
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2006-01-01,18,18,0,0,0.0,16,16,Small,0
Ethiopia,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,54070,54070,0,575,1.0634362862955429,482,482,Epidemic,0
France,No,Europe,EURO,Western Europe,2006-01-01,2,0,2,0,0.0,0,0,Small,2
Germany,No,Europe,EURO,Western Europe,2006-01-01,1,0,1,0,0.0,0,0,Small,2
Ghana,Yes,Africa,AFRO,West and Central Africa,2006-01-01,3357,3357,0,107,3.187369675305332,110,110,Large,0
Guinea,Yes,Africa,AFRO,West and Central Africa,2006-01-01,3242,3242,0,219,6.7550894509562,254,254,Large,0
Guinea-Bissau,Yes,Africa,AFRO,West and Central Africa,2006-01-01,37,37,0,0,0.0,19,19,Small,0
India,Yes,Asia,SEARO,South Asia,2006-01-01,1939,1939,0,3,0.15471892728210418,1,1,Large,4
Italy,No,Europe,EURO,Western Europe,2006-01-01,1,0,1,0,0.0,0,0,Small,2
Japan,No,Asia,WPRO,East Asia and Pacific,2006-01-01,34,6,28,0,0.0,0,0,Small,5
Kenya,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,870,870,0,11,1.264367816091954,17,17,Medium,0
Liberia,Yes,Africa,AFRO,West and Central Africa,2006-01-01,4929,4929,0,17,0.34489754514100224,998,998,Large,0
Malawi,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,4148,4148,0,55,1.325940212150434,223,223,Large,0
Malaysia,Yes,Asia,WPRO,East Asia and Pacific,2006-01-01,237,237,0,2,0.8438818565400843,7,7,Medium,5
Mali,Yes,Africa,AFRO,West and Central Africa,2006-01-01,7,7,0,0,0.0,0,0,Small,0
Mauritania,No,Africa,AFRO,West and Central Africa,2006-01-01,25,25,0,0,0.0,6,6,Small,0
Mozambique,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,6306,6306,0,29,0.45987947986045036,208,208,Large,0
Namibia,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,185,185,0,5,2.7027027027027026,74,74,Medium,0
Netherlands,No,Europe,EURO,Western Europe,2006-01-01,3,0,3,0,0.0,0,0,Small,2
Niger,Yes,Africa,AFRO,West and Central Africa,2006-01-01,1232,1232,0,81,6.574675324675325,53,53,Large,0
Nigeria,Yes,Africa,AFRO,West and Central Africa,2006-01-01,2028,2028,0,127,6.26232741617357,10,10,Large,0
Norway,No,Europe,EURO,Western Europe,2006-01-01,1,0,1,0,0.0,0,0,Small,2
Philippines,Yes,Asia,WPRO,East Asia and Pacific,2006-01-01,66,66,0,1,1.5151515151515151,1,1,Small,5
Russian Federation,No,Europe,EURO,"Central, Eastern Europe",2006-01-01,1,0,1,0,0.0,0,0,Small,2
Rwanda,No,Africa,AFRO,Eastern and Southern Africa,2006-01-01,405,405,0,21,5.185185185185185,32,32,Medium,0
Sao Tome and Principe,No,Africa,AFRO,West and Central Africa,2006-01-01,926,926,0,9,0.9719222462203023,4306,4306,Medium,0
Senegal,No,Africa,AFRO,West and Central Africa,2006-01-01,365,365,0,10,2.73972602739726,22,22,Medium,0
Sierra Leone,Yes,Africa,AFRO,West and Central Africa,2006-01-01,2560,2560,0,99,3.8671875,328,328,Large,0
Spain,No,Europe,EURO,Western Europe,2006-01-01,2,0,2,0,0.0,0,0,Small,2
Sudan,Yes,Africa,EMRO,Middle East and North Africa,2006-01-01,30662,30662,0,1011,3.297240884482421,716,716,Epidemic,1
Sweden,No,Europe,EURO,Western Europe,2006-01-01,1,0,1,0,0.0,0,0,Small,2
Switzerland,No,Europe,EURO,Western Europe,2006-01-01,1,0,1,0,0.0,0,0,Small,2
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,14297,14297,0,254,1.7765964887738688,246,246,Epidemic,0
Thailand,Yes,Asia,SEARO,East Asia and Pacific,2006-01-01,35,35,0,0,0.0,1,1,Small,4
Togo,Yes,Africa,AFRO,West and Central Africa,2006-01-01,1159,1159,0,25,2.1570319240724762,143,143,Large,0
Uganda,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,5194,5194,0,106,2.0408163265306123,117,117,Large,0
United Kingdom,No,Europe,EURO,Western Europe,2006-01-01,49,0,49,0,0.0,0,0,Small,2
USA,No,Americas,PAHO,North Americas,2006-01-01,8,4,4,0,0.0,0,0,Small,3
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,5360,5360,0,183,3.4141791044776117,300,300,Large,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2006-01-01,789,789,0,61,7.731305449936629,54,54,Medium,0
Afghanistan,Yes,Asia,EMRO,South Asia,2005-01-01,33,33,0,0,0.0,1,1,Small,1
Australia,No,Oceania,WPRO,East Asia and Pacific,2005-01-01,2,0,2,0,0.0,0,0,Small,5
Austria,No,Europe,EURO,Western Europe,2005-01-01,1,0,1,0,0.0,0,0,Small,2
Belgium,No,Europe,EURO,Western Europe,2005-01-01,2,0,2,0,0.0,0,0,Small,2
Benin,Yes,Africa,AFRO,West and Central Africa,2005-01-01,749,749,0,11,1.4686248331108143,63,63,Medium,0
Brazil,No,Americas,PAHO,Americas and Caribbean,2005-01-01,5,5,0,0,0.0,0,0,Small,3
Burkina Faso,Yes,Africa,AFRO,West and Central Africa,2005-01-01,1050,1050,0,16,1.5238095238095237,52,52,Large,0
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,1309,1309,0,18,1.3750954927425516,114,114,Large,0
Cameroon,Yes,Africa,AFRO,West and Central Africa,2005-01-01,2847,2847,0,110,3.8637161924833157,110,110,Large,0
Canada,No,Americas,PAHO,North Americas,2005-01-01,7,0,7,0,0.0,0,0,Small,3
Chad,Yes,Africa,AFRO,West and Central Africa,2005-01-01,90,90,0,14,15.555555555555555,6,6,Small,0
China,No,Asia,WPRO,East Asia and Pacific,2005-01-01,980,976,4,4,0.40816326530612246,1,1,Medium,5
Cote d'Ivoire,Yes,Africa,AFRO,West and Central Africa,2005-01-01,39,39,0,6,15.384615384615385,2,2,Small,0
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2005-01-01,13430,13430,0,244,1.8168279970215935,155,155,Epidemic,0
Equatorial Guinea,No,Africa,AFRO,West and Central Africa,2005-01-01,6391,6391,0,33,0.5163511187607573,4713,4713,Large,0
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2005-01-01,64,64,0,0,0.0,56,56,Small,0
Finland,No,Europe,EURO,Western Europe,2005-01-01,1,0,1,0,0.0,0,0,Small,2
Gambia,No,Africa,AFRO,West and Central Africa,2005-01-01,214,214,0,13,6.074766355140187,91,91,Medium,0
Ghana,Yes,Africa,AFRO,West and Central Africa,2005-01-01,3166,3166,0,51,1.6108654453569171,104,104,Large,0
Guinea,Yes,Africa,AFRO,West and Central Africa,2005-01-01,3821,3821,0,107,2.8003140539125884,299,299,Large,0
Guinea-Bissau,Yes,Africa,AFRO,West and Central Africa,2005-01-01,25111,25111,0,399,1.5889450838278047,13072,13072,Epidemic,0
India,Yes,Asia,SEARO,South Asia,2005-01-01,3155,3155,0,6,0.1901743264659271,2,2,Large,4
Indonesia,No,Asia,SEARO,East Asia and Pacific,2005-01-01,1338,1338,0,19,1.4200298953662183,5,5,Large,4
Iran,Yes,Asia,EMRO,Middle East and North Africa,2005-01-01,1133,1133,0,11,0.9708737864077669,14,14,Large,1
Japan,No,Asia,WPRO,East Asia and Pacific,2005-01-01,43,10,33,0,0.0,0,0,Small,5
Kenya,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,816,816,0,21,2.5735294117647056,16,16,Medium,0
Lebanon,No,Asia,EMRO,Middle East and North Africa,2005-01-01,1,0,1,0,0.0,0,0,Small,1
Liberia,Yes,Africa,AFRO,West and Central Africa,2005-01-01,3823,3823,0,18,0.47083442322783153,774,774,Large,0
Malawi,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,1105,1105,0,11,0.9954751131221719,59,59,Large,0
Mali,Yes,Africa,AFRO,West and Central Africa,2005-01-01,1178,1178,0,76,6.451612903225806,60,60,Large,0
Mauritania,No,Africa,AFRO,West and Central Africa,2005-01-01,4132,4132,0,70,1.6940948693126814,913,913,Large,0
Mozambique,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,2226,2226,0,24,1.078167115902965,73,73,Large,0
Netherlands,No,Europe,EURO,Western Europe,2005-01-01,4,0,4,0,0.0,0,0,Small,2
New Zealand,No,Oceania,WPRO,East Asia and Pacific,2005-01-01,1,0,1,0,0.0,0,0,Small,5
Niger,Yes,Africa,AFRO,West and Central Africa,2005-01-01,553,553,0,55,9.945750452079565,24,24,Medium,0
Nigeria,Yes,Africa,AFRO,West and Central Africa,2005-01-01,4477,4477,0,174,3.886531159258432,22,22,Large,0
Norway,No,Europe,EURO,Western Europe,2005-01-01,1,0,1,0,0.0,0,0,Small,2
Philippines,Yes,Asia,WPRO,East Asia and Pacific,2005-01-01,139,139,0,2,1.4388489208633095,1,1,Medium,5
Poland,No,Europe,EURO,Western Europe,2005-01-01,1,0,1,0,0.0,0,0,Small,2
Qatar,No,Asia,EMRO,Middle East and North Africa,2005-01-01,2,0,2,0,0.0,0,0,Small,1
Rwanda,No,Africa,AFRO,Eastern and Southern Africa,2005-01-01,89,89,0,0,0.0,7,7,Small,0
Sao Tome and Principe,No,Africa,AFRO,West and Central Africa,2005-01-01,1966,1966,0,33,1.6785350966429298,9142,9142,Large,0
Senegal,No,Africa,AFRO,West and Central Africa,2005-01-01,31719,31719,0,458,1.4439295059743371,1946,1946,Epidemic,0
Sierra Leone,Yes,Africa,AFRO,West and Central Africa,2005-01-01,6,6,0,0,0.0,1,1,Small,0
South Africa,No,Africa,AFRO,Eastern and Southern Africa,2005-01-01,3503,3503,0,28,0.7993148729660291,60,60,Large,0
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,2945,2945,0,94,3.191850594227504,51,51,Large,0
Togo,Yes,Africa,AFRO,West and Central Africa,2005-01-01,1320,1320,0,15,1.1363636363636365,163,163,Large,0
Uganda,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,4924,4924,0,98,1.9902518277822907,111,111,Large,0
USA,No,Americas,PAHO,North Americas,2005-01-01,12,4,8,0,0.0,0,0,Small,3
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,1503,1503,0,7,0.4657351962741184,84,84,Large,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2005-01-01,516,516,0,26,5.038759689922481,35,35,Medium,0
Australia,No,Oceania,WPRO,East Asia and Pacific,2004-01-01,2,0,2,0,0.0,0,0,Small,5
Belgium,No,Europe,EURO,Western Europe,2004-01-01,1,0,1,0,0.0,0,0,Small,2
Benin,Yes,Africa,AFRO,West and Central Africa,2004-01-01,642,642,0,9,1.4018691588785046,54,54,Medium,0
Brazil,No,Americas,PAHO,Americas and Caribbean,2004-01-01,21,21,0,0,0.0,0,0,Small,3
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,819,819,0,14,1.7094017094017095,71,71,Medium,0
Cambodia,No,Asia,WPRO,East Asia and Pacific,2004-01-01,57,57,0,1,1.7543859649122806,3,3,Small,5
Cameroon,Yes,Africa,AFRO,West and Central Africa,2004-01-01,8005,8005,0,137,1.7114303560274828,309,309,Large,0
Canada,No,Americas,PAHO,North Americas,2004-01-01,3,0,3,0,0.0,0,0,Small,3
Central African Rep,No,Africa,AFRO,West and Central Africa,2004-01-01,320,320,0,48,15.0,67,67,Medium,0
Chad,Yes,Africa,AFRO,West and Central Africa,2004-01-01,5531,5531,0,272,4.917736394865305,347,347,Large,0
China,No,Asia,WPRO,East Asia and Pacific,2004-01-01,246,244,2,1,0.40650406504065045,0,0,Medium,5
Colombia,No,Americas,PAHO,Americas and Caribbean,2004-01-01,2,2,0,0,0.0,0,0,Small,3
Comoros,No,Africa,AFRO,Eastern and Southern Africa,2004-01-01,1,1,0,0,0.0,1,1,Small,0
Cote d'Ivoire,Yes,Africa,AFRO,West and Central Africa,2004-01-01,105,105,0,9,8.571428571428571,4,4,Medium,0
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2004-01-01,7665,7665,0,228,2.974559686888454,88,88,Large,0
Denmark,No,Europe,EURO,Western Europe,2004-01-01,1,0,1,0,0.0,0,0,Small,2
Ecuador,No,Americas,PAHO,Americas and Caribbean,2004-01-01,5,5,0,0,0.0,0,0,Small,3
Equatorial Guinea,No,Africa,AFRO,West and Central Africa,2004-01-01,59,59,0,1,1.694915254237288,44,44,Small,0
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2004-01-01,1075,1075,0,16,1.4883720930232558,936,936,Large,0
Ethiopia,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,16,16,0,0,0.0,0,0,Small,0
Germany,No,Europe,EURO,Western Europe,2004-01-01,3,0,3,0,0.0,0,0,Small,2
Ghana,Yes,Africa,AFRO,West and Central Africa,2004-01-01,407,407,0,6,1.4742014742014742,13,13,Medium,0
Guinea,Yes,Africa,AFRO,West and Central Africa,2004-01-01,1516,1516,0,117,7.717678100263853,119,119,Large,0
Guinea-Bissau,Yes,Africa,AFRO,West and Central Africa,2004-01-01,155,155,0,3,1.935483870967742,81,81,Medium,0
India,Yes,Asia,SEARO,South Asia,2004-01-01,4695,4695,0,7,0.1490947816826411,3,3,Large,4
Iran,Yes,Asia,EMRO,Middle East and North Africa,2004-01-01,94,94,0,1,1.0638297872340425,1,1,Small,1
Iraq,Yes,Asia,EMRO,Middle East and North Africa,2004-01-01,35,35,0,0,0.0,1,1,Small,1
Japan,No,Asia,WPRO,East Asia and Pacific,2004-01-01,66,11,55,0,0.0,0,0,Small,5
Kenya,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,870,870,0,15,1.7241379310344827,17,17,Medium,0
Korea (Rep of),No,Asia,WPRO,East Asia and Pacific,2004-01-01,10,0,10,0,0.0,0,0,Small,5
Liberia,Yes,Africa,AFRO,West and Central Africa,2004-01-01,2786,2786,0,4,0.14357501794687724,564,564,Large,0
Malawi,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,675,675,0,4,0.5925925925925926,36,36,Medium,0
Malaysia,Yes,Asia,WPRO,East Asia and Pacific,2004-01-01,16,16,0,0,0.0,1,1,Small,5
Mali,Yes,Africa,AFRO,West and Central Africa,2004-01-01,2839,2839,0,205,7.220852412821416,144,144,Large,0
Mozambique,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,20080,20080,0,110,0.5478087649402391,661,661,Epidemic,0
Netherlands,No,Europe,EURO,Western Europe,2004-01-01,1,0,1,0,0.0,0,0,Small,2
Niger,Yes,Africa,AFRO,West and Central Africa,2004-01-01,2178,2178,0,57,2.6170798898071626,93,93,Large,0
Nigeria,Yes,Africa,AFRO,West and Central Africa,2004-01-01,3186,3186,0,185,5.806654111738858,16,16,Large,0
Philippines,Yes,Asia,WPRO,East Asia and Pacific,2004-01-01,533,533,0,3,0.5628517823639775,5,5,Medium,5
Qatar,No,Asia,EMRO,Middle East and North Africa,2004-01-01,1,0,1,0,0.0,0,0,Small,1
Russian Federation,No,Europe,EURO,"Central, Eastern Europe",2004-01-01,1,0,1,0,0.0,0,0,Small,2
Rwanda,No,Africa,AFRO,Eastern and Southern Africa,2004-01-01,586,586,0,0,0.0,46,46,Medium,0
Senegal,No,Africa,AFRO,West and Central Africa,2004-01-01,1227,1227,0,10,0.8149959250203749,75,75,Large,0
Sierra Leone,Yes,Africa,AFRO,West and Central Africa,2004-01-01,513,513,0,42,8.187134502923977,66,66,Medium,0
Singapore,No,Asia,WPRO,East Asia and Pacific,2004-01-01,11,10,1,1,9.090909090909092,2,2,Small,5
Somalia,Yes,Africa,EMRO,Eastern and Southern Africa,2004-01-01,4490,4490,0,26,0.579064587973274,291,291,Large,1
South Africa,No,Africa,AFRO,Eastern and Southern Africa,2004-01-01,2767,2767,0,35,1.264907842428623,47,47,Large,0
Sweden,No,Europe,EURO,Western Europe,2004-01-01,1,0,1,0,0.0,0,0,Small,2
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,10319,10319,0,272,2.6359143327841847,178,178,Epidemic,0
Togo,Yes,Africa,AFRO,West and Central Africa,2004-01-01,1080,1080,0,33,3.0555555555555554,134,134,Large,0
Uganda,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,3380,3380,0,91,2.6923076923076925,76,76,Large,0
United Kingdom,No,Europe,EURO,Western Europe,2004-01-01,13,0,13,0,0.0,0,0,Small,2
USA,No,Americas,PAHO,North Americas,2004-01-01,5,0,5,0,0.0,0,0,Small,3
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,12149,12149,0,373,3.0702115400444483,680,680,Epidemic,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2004-01-01,119,119,0,9,7.563025210084033,8,8,Medium,0
Afghanistan,Yes,Asia,EMRO,South Asia,2003-01-01,41,41,0,7,17.073170731707318,1,1,Small,1
Benin,Yes,Africa,AFRO,West and Central Africa,2003-01-01,434,434,0,11,2.5345622119815667,37,37,Medium,0
Burkina Faso,Yes,Africa,AFRO,West and Central Africa,2003-01-01,1,1,0,0,0.0,0,0,Small,0
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,432,432,0,18,4.166666666666666,37,37,Medium,0
Cameroon,Yes,Africa,AFRO,West and Central Africa,2003-01-01,207,207,0,36,17.391304347826086,8,8,Medium,0
Canada,No,Americas,PAHO,North Americas,2003-01-01,5,3,2,0,0.0,0,0,Small,3
Chad,Yes,Africa,AFRO,West and Central Africa,2003-01-01,55,55,0,7,12.727272727272727,3,3,Small,0
China,No,Asia,WPRO,East Asia and Pacific,2003-01-01,229,229,0,1,0.43668122270742354,0,0,Medium,5
Comoros,No,Africa,AFRO,Eastern and Southern Africa,2003-01-01,56,56,0,0,0.0,66,66,Small,0
Cote d'Ivoire,Yes,Africa,AFRO,West and Central Africa,2003-01-01,1034,1034,0,50,4.835589941972921,40,40,Large,0
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2003-01-01,27272,27272,0,989,3.6264300381343504,314,314,Epidemic,0
Ecuador,No,Americas,PAHO,Americas and Caribbean,2003-01-01,25,25,0,0,0.0,1,1,Small,3
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2003-01-01,32,32,0,13,40.625,28,28,Small,0
Gabon,No,Africa,AFRO,West and Central Africa,2003-01-01,629,629,0,0,0.0,290,290,Medium,0
Germany,No,Europe,EURO,Western Europe,2003-01-01,1,0,1,0,0.0,0,0,Small,2
Ghana,Yes,Africa,AFRO,West and Central Africa,2003-01-01,204,204,0,4,1.9607843137254901,7,7,Medium,0
Guatemala,No,Americas,PAHO,Americas and Caribbean,2003-01-01,1,1,0,0,0.0,0,0,Small,3
Guinea,Yes,Africa,AFRO,West and Central Africa,2003-01-01,6,6,0,1,16.666666666666664,0,0,Small,0
Guinea-Bissau,Yes,Africa,AFRO,West and Central Africa,2003-01-01,290,290,0,2,0.6896551724137931,151,151,Medium,0
India,Yes,Asia,SEARO,South Asia,2003-01-01,2893,2893,0,2,0.06913238852402351,2,2,Large,4
Iran,Yes,Asia,EMRO,Middle East and North Africa,2003-01-01,96,92,4,0,0.0,1,1,Small,1
Iraq,Yes,Asia,EMRO,Middle East and North Africa,2003-01-01,187,187,0,0,0.0,5,5,Medium,1
Japan,No,Asia,WPRO,East Asia and Pacific,2003-01-01,16,2,14,0,0.0,0,0,Small,5
Liberia,Yes,Africa,AFRO,West and Central Africa,2003-01-01,34740,34740,0,38,0.10938399539435809,7036,7036,Epidemic,0
Madagascar,No,Africa,AFRO,Eastern and Southern Africa,2003-01-01,5,5,0,0,0.0,0,0,Small,0
Malawi,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,2736,2736,0,34,1.2426900584795322,147,147,Large,0
Mali,Yes,Africa,AFRO,West and Central Africa,2003-01-01,1455,1455,0,119,8.1786941580756,74,74,Large,0
Mauritania,No,Africa,AFRO,West and Central Africa,2003-01-01,34,34,0,8,23.52941176470588,8,8,Small,0
Mozambique,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,13758,13758,0,102,0.7413868294810292,453,453,Epidemic,0
Netherlands,No,Europe,EURO,Western Europe,2003-01-01,1,0,1,0,0.0,0,0,Small,2
Niger,Yes,Africa,AFRO,West and Central Africa,2003-01-01,292,292,0,11,3.767123287671233,13,13,Medium,0
Nigeria,Yes,Africa,AFRO,West and Central Africa,2003-01-01,1933,1933,0,87,4.500775995861355,10,10,Large,0
Rwanda,No,Africa,AFRO,Eastern and Southern Africa,2003-01-01,12,12,0,0,0.0,1,1,Small,0
Singapore,No,Asia,WPRO,East Asia and Pacific,2003-01-01,1,1,0,0,0.0,0,0,Small,5
Somalia,Yes,Africa,EMRO,Eastern and Southern Africa,2003-01-01,11020,11020,0,56,0.5081669691470054,714,714,Epidemic,1
South Africa,No,Africa,AFRO,Eastern and Southern Africa,2003-01-01,3901,3901,0,45,1.1535503716995643,67,67,Large,0
Sweden,No,Europe,EURO,Western Europe,2003-01-01,1,0,1,0,0.0,0,0,Small,2
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,710,710,0,32,4.507042253521127,12,12,Medium,0
Togo,Yes,Africa,AFRO,West and Central Africa,2003-01-01,384,384,0,28,7.291666666666667,48,48,Medium,0
Uganda,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,4377,4377,0,129,2.9472241261137766,99,99,Large,0
United Kingdom,No,Europe,EURO,Western Europe,2003-01-01,9,0,9,0,0.0,0,0,Small,2
USA,No,Americas,PAHO,North Americas,2003-01-01,2,0,2,0,0.0,0,0,Small,3
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,1049,1049,0,29,2.7645376549094376,59,59,Large,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2003-01-01,1009,1009,0,35,3.468780971258672,69,69,Large,0
Afghanistan,Yes,Asia,EMRO,South Asia,2002-01-01,3,3,0,0,0.0,0,0,Small,1
Australia,No,Oceania,WPRO,East Asia and Pacific,2002-01-01,5,3,2,0,0.0,0,0,Small,5
Austria,No,Europe,EURO,Western Europe,2002-01-01,1,0,1,0,0.0,0,0,Small,2
Benin,Yes,Africa,AFRO,West and Central Africa,2002-01-01,270,270,0,13,4.814814814814815,23,23,Medium,0
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2002-01-01,577,577,0,8,1.386481802426343,50,50,Medium,0
Cameroon,Yes,Africa,AFRO,West and Central Africa,2002-01-01,66,66,0,8,12.121212121212121,3,3,Small,0
Canada,No,Americas,PAHO,North Americas,2002-01-01,4,0,4,0,0.0,0,0,Small,3
China,No,Asia,WPRO,East Asia and Pacific,2002-01-01,4,2,2,0,0.0,0,0,Small,5
Comoros,No,Africa,AFRO,Eastern and Southern Africa,2002-01-01,1567,1567,0,46,2.935545628589662,1842,1842,Large,0
Cote d'Ivoire,Yes,Africa,AFRO,West and Central Africa,2002-01-01,4188,4188,0,143,3.414517669531996,163,163,Large,0
Czech Republic,No,Europe,EURO,Western Europe,2002-01-01,2,0,2,0,0.0,0,0,Small,2
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2002-01-01,31658,31658,0,1979,6.251184534714764,365,365,Epidemic,0
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2002-01-01,134,134,0,2,1.4925373134328357,117,117,Medium,0
France,No,Europe,EURO,Western Europe,2002-01-01,1,0,1,0,0.0,0,0,Small,2
Gabon,No,Africa,AFRO,West and Central Africa,2002-01-01,6,6,0,0,0.0,3,3,Small,0
Germany,No,Europe,EURO,Western Europe,2002-01-01,1,0,1,0,0.0,0,0,Small,2
Ghana,Yes,Africa,AFRO,West and Central Africa,2002-01-01,3614,3614,0,65,1.7985611510791366,119,119,Large,0
Guam,No,Asia,WPRO,East Asia and Pacific,2002-01-01,1,0,1,0,0.0,0,0,Small,5
Guatemala,No,Americas,PAHO,Americas and Caribbean,2002-01-01,1,1,0,0,0.0,0,0,Small,3
